BI00A1200    7360T51817     202208257289-3342-90             HOUSING FEMALE ASS'Y     CCN000002400000000000FY00000000020210901000000000NNEQ0820211201191938    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    7360T51817     202209017289-3342-90             HOUSING FEMALE ASS'Y     CCN000002400000000000FY00000000020210901000000000NNEQ0820211201191938    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    7360T51817     202209087289-3342-90             HOUSING FEMALE ASS'Y     CCN000002400000000000FY00000000020210901000000000NNEQ0820211201191938    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    7360T51817     202209157289-3342-90             HOUSING FEMALE ASS'Y     CCN000002400000000000FY00000000020210901000000000NNEQ0820211201191938    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    7360T51817     202209227289-3342-90             HOUSING FEMALE ASS'Y     CCN000002400000000000FY00000000020210901000000000NNEQ0820211201191938    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    7360T51817     202209297289-3342-90             HOUSING FEMALE ASS'Y     CCN000002400000000000FY00000000020210901000000000NNEQ0820211201191938    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    7360T51817     202210067289-3342-90             HOUSING FEMALE ASS'Y     CCN000002400000000000FY00000000020210901000000000NNEQ0820211201191938    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    7360T51817     202210137289-3342-90             HOUSING FEMALE ASS'Y     CCN000002400000000000FY00000000020210901000000000NNEQ0820211201191938    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    7360T51817     202210207289-3342-90             HOUSING FEMALE ASS'Y     CCN000002400000000000FY00000000020210901000000000NNEQ0820211201191938    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    7360T51817     202210277289-3342-90             HOUSING FEMALE ASS'Y     CCN000002400000000000FY00000000020210901000000000NNEQ0820211201191938    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    7360T51817     202211037289-3342-90             HOUSING FEMALE ASS'Y     CCN000002400000000000FY00000000020210901000000000NNEQ0820211201191938    1N0N  0000024000000068640000090141200    YCYC    005500360039
