BI00B32DA    SBT2206        202204287289-3342-30             HOUSING FEMALE ASS'Y     CCN000049500000050400FN00000000020220601000050400NNM   20220330131242    1N0N  00000240000000686400000901432DA    GBYIPLGB005500360039
BI00B32DA    SBT2206A       202205057289-3342-30             HOUSING FEMALE ASS'Y     CCN000049500000050400FN00000000020220601000050400NNM   20220330131242    1N0N  00000240000000686400000901432DA    GBYIPLGB005500360039
BI00B32DA    SBT2206        202204287286-3885-40             CONNECTOR MALE ASS'Y     CCN000049625000050400FN00000000020220601000050400NNM   20220330131242    1N0N  00000120000000910600001130632DA    GBYIPLGB005500360039
BI00B32DA    SBT2206A       202205057286-3885-40             CONNECTOR MALE ASS'Y     CCN000049625000050400FN00000000020220601000050400NNM   20220330131242    1N0N  00000120000000910600001130632DA    GBYIPLGB005500360039
BI00B32DA    SBT2206        202204287287-3885-40             HYBRID FEMALE ASS'Y      CCN000016875000019200FN00000000020220601000019200NNM   20220330131242    1N0N  00000240000001029600001249632DA    GBYIPLGB005500360039
BI00B32DA    SBT2206A       202205057287-3885-40             HYBRID FEMALE ASS'Y      CCN000016875000019200FN00000000020220601000019200NNM   20220330131242    1N0N  00000240000001029600001249632DA    GBYIPLGB005500360039
BI00B32DA    SBT2206        202204287114-4415-02             TERMINAL MALE            CCN000013500000027000FN00000000020220601000027000NNM   20220330131242    4P0P  00002700000000429300000717532DA    GBYIPLGB006400630015
BI00B32DA    SBT2206A       202205057114-4415-02             TERMINAL MALE            CCN000013500000027000FN00000000020220601000027000NNM   20220330131242    4P0P  00002700000000429300000717532DA    GBYIPLGB006400630015
BI00B32DA    SBT2206        202204287114-4416-02             TERMINAL MALE            CCN000013500000027000FN00000000020220601000027000NNM   20220330131242    4P0P  00002700000000442800000731032DA    GBYIPLGB006400630015
BI00B32DA    SBT2206A       202205057114-4416-02             TERMINAL MALE            CCN000013500000027000FN00000000020220601000027000NNM   20220330131242    4P0P  00002700000000442800000731032DA    GBYIPLGB006400630015
BI00B32DA    SBT2206        202204287158-3169-40             SEALING PLUG             CCN000020000000040000FN00000000020220601000040000NNM   20220330131242    1C0C  00004000000000156000000204132DA    GBYIPLGB004300260014
BI00B32DA    SBT2206A       202205057158-3169-40             SEALING PLUG             CCN000020000000040000FN00000000020220601000040000NNM   20220330131242    1C0C  00004000000000156000000204132DA    GBYIPLGB004300260014
BI00B32DA    #SBT2206       202204287114-4022                TERMINAL                 CCN000037500000045000FN00000000020220601000045000NNM   20220330131236    2F0P  00001500000000708000001120632DA    GBYIPLGB006400630015
BI00B32DA    #SBT2206A      202205057114-4022                TERMINAL                 CCN000037500000045000FN00000000020220601000045000NNM   20220330131236    2F0P  00001500000000708000001120632DA    GBYIPLGB006400630015
BI00B32DA    #SBT2206       202204287116-4021                TERMINAL                 CCN000067500000067500FN00000000020220601000067500NNM   20220330131236    2F0P  00001350000000534600000868832DA    GBYIPLGB006400630015
BI00B32DA    #SBT2206A      202205057116-4021                TERMINAL                 CCN000067500000067500FN00000000020220601000067500NNM   20220330131236    2F0P  00001350000000534600000868832DA    GBYIPLGB006400630015
BI00B32DA    #SBT2206       202204287183-2414                CONNECTOR HOUSING        CCN000021600000024000FN00000000020220601000024000NNM   20220330131236    2F0F  00000480000000779200001061032DA    GBYIPLGB005500360039
BI00B32DA    #SBT2206A      202205057183-2414                CONNECTOR HOUSING        CCN000021600000024000FN00000000020220601000024000NNM   20220330131236    2F0F  00000480000000779200001061032DA    GBYIPLGB005500360039
BI00B32DA    #SBT2206       202204287189-3037                HOUSING FEMALE           CCN000012000000014400FN00000000020220601000014400NNM   20220330131236    2F0F  00000480000000806400001066432DA    GBYIPLGB005500360039
BI00B32DA    #SBT2206A      202205057189-3037                HOUSING FEMALE           CCN000012000000014400FN00000000020220601000014400NNM   20220330131236    2F0F  00000480000000806400001066432DA    GBYIPLGB005500360039
BI00B32DA    #SBT2206       202204287157-6826-80             REAR HOLDER              CCN000015000000015000FN00000000020220601000015000NNM   20220330131236    2F0F  00001500000001234500001394132DA    GBYIPLGB005600390040
BI00B32DA    #SBT2206A      202205057157-6826-80             REAR HOLDER              CCN000015000000015000FN00000000020220601000015000NNM   20220330131236    2F0F  00001500000001234500001394132DA    GBYIPLGB005600390040
BI00B32DA    #SBT2206       202204287158-3015-10             RUBBER STOPPER           CCN000085000000090000FN00000000020220601000090000NNM   20220330131236    2C0C  00001000000000419500000474032DA    GBYIPLGB002700430014
BI00B32DA    #SBT2206A      202205057158-3015-10             RUBBER STOPPER           CCN000085000000090000FN00000000020220601000090000NNM   20220330131236    2C0C  00001000000000419500000474032DA    GBYIPLGB002700430014
BI00B32DA    #SBT2206       202204287183-1616-30             CONNECTOR HOUSING        CCN000015600000016800FN00000000020220601000016800NNM   20220330131236    2F0F  00000240000000557500000837132DA    GBYIPLGB005500360039
BI00B32DA    #SBT2206A      202205057183-1616-30             CONNECTOR HOUSING        CCN000015600000016800FN00000000020220601000016800NNM   20220330131236    2F0F  00000240000000557500000837132DA    GBYIPLGB005500360039
BI00B32DA    #SBT2206       202204287183-2414-40             CONNECTOR HOUSING        CCN000012000000014400FN00000000020220601000014400NNM   20220330131236    2F0F  00000480000000777600000963632DA    GBYIPLGB005500360039
BI00B32DA    #SBT2206A      202205057183-2414-40             CONNECTOR HOUSING        CCN000012000000014400FN00000000020220601000014400NNM   20220330131236    2F0F  00000480000000777600000963632DA    GBYIPLGB005500360039
BI00B32DA    #SBT2206       202204287183-7725-40             HOUSING                  CCN000021000000024000FN00000000020220601000024000NNM   20220330131236    2F0F  00000600000000840000001040032DA    GBYIPLGB005600390040
BI00B32DA    #SBT2206A      202205057183-7725-40             HOUSING                  CCN000021000000024000FN00000000020220601000024000NNM   20220330131236    2F0F  00000600000000840000001040032DA    GBYIPLGB005600390040
BI00B32D1    DFTC2226       202205057114-5748-02             TERMINAL                 CCN000072000000072000FN00000000020220701000072000NNM   20220330121714    4P0P  00001200000000444000000737632D1    TOYOT-K 006400630015
BI00B32D1    DFTC2226       202205057114-5753-02             TERMINAL                 CCN000216000000216000FN00000000020220701000216000NNM   20220330121714    4P0P  00002700000000847800001141432D1    TOYOT-K 006400630015
BI00B32D1    DFTC2226       202205057116-1685-02             TERMINAL                 CCN000048000000048000FN00000000020220701000048000NNM   20220330121714    4P0P  00002400000000897600001065232D1    TOYOT-K 005100280028
BI00B32D1    DFTC2226       202205057116-2891-02             TERMINAL                 CCN000075000000075000FN00000000020220701000075000NNM   20220330121714    4P0P  00001500000000982500001145932D1    TOYOT-K 005100280028
BI00B32D1    DFTC2226       202205057116-4101-02             TERMINAL                 CCN000012000000012000FN00000000020220701000012000NNM   20220330121714    4P0P  00001200000000582000000876232D1    TOYOT-K 006400630015
BI00B32D1    DFTC2226       202205057116-4110-02             TERMINAL                 CCN000036000000036000FN00000000020220701000036000NNM   20220330121714    4P0P  00000900000000594000000882232D1    TOYOT-K 006400630015
BI00B32D1    DFTC2226       202205057116-4111-02             TERMINAL                 CCN000022500000022500FN00000000020220701000022500NNM   20220330121714    4P0P  00000750000000529500000817732D1    TOYOT-K 006400630015
BI00B32D1    DFTC2226       202205057116-4112-02             TERMINAL                 CCN000054000000054000FN00000000020220701000054000NNM   20220330121714    4P0P  00000600000000450000000738232D1    TOYOT-K 006400630015
BI00B32D1    DFTC2226       202205057116-4486-02             TERMINAL                 CCN000112000000112000FN00000000020220701000112000NNM   20220330121714    4P0P  00002800000000666400000995132D1    TOYOT-K 006400630017
BI00B32D1    DFTC2226       202205057116-5045-02             TERMINAL                 CCN000016000000016000FN00000000020220701000016000NNM   20220330121714    4P0P  00001600000000678400001007132D1    TOYOT-K 006400630017
BI00B32D1    DFTC2226       202205057126-8853-02             TERMINAL                 CCN000067500000067500FN00000000020220701000067500NNM   20220330121714    4P0P  00000750000000562500000847732D1    TOYOT-K 006400630015
BI00B32D1    DFTC2226       202205057126-8854-02             TERMINAL                 CCN000067500000067500FN00000000020220701000067500NNM   20220330121714    4P0P  00000750000000604500000889732D1    TOYOT-K 006400630015
BI00B32D1    DFTC2226       202205057126-8855-02             TERMINAL                 CCN000060000000060000FN00000000020220701000060000NNM   20220330121714    4P0P  00000600000000510600000795832D1    TOYOT-K 006400630015
BI00B32D1    DFTC2226       202205057158-3070-80             RUBBER STOPPER           CCN000040000000040000FN00000000020220701000040000NNM   20220330121714    1C0C  00004000000000276000000333332D1    TOYOT-K 002700430014
BI00B32D1    DFTC2226       202205057196-0396-02             TERMINAL                 CCN000015000000015000FN00000000020220701000015000NNM   20220330121714    4P0P  00001500000000949500001112932D1    TOYOT-K 002800510028
BI00B32D1    DFTC2226       202205057196-0510-02             TERMINAL                 CCN000048000000048000FN00000000020220701000048000NNM   20220330121714    4P0P  00002400000000871200001034632D1    TOYOT-K 002800510028
BI00B32D1    DFTC2226       202205057282-4576                HOUSING MALE ASS'Y       CCN000007200000007200FN00000000020220701000007200NNM   20220330121714    4N0N  00000240000000808800001028832D1    TOYOT-K 005500360039
BI00B32D1    DFTC2226       202205057283-1156                CONNECTOR                CCN000004800000004800FN00000000020220701000004800NNM   20220330121714    4N0N  00000080000000877600001078032D1    TOYOT-K 005600390040
BI00B32D1    DFTC2226       202205057288-6547                CONNECTOR MALE ASS'Y     CCN000009000000009000FN00000000020220701000009000NNM   20220330121714    4N0N  00000075000001205300001340332D1    TOYOT-K 005400370024
BI00B32D1    DFTC2226       202205057289-3342                HOUSING FEMALE ASS'Y     CCN000026400000026400FN00000000020220701000026400NNM   20220330121714    1N0N  00000240000000686400000901432D1    TOYOT-K 005500360039
BI00B32D1    DFTC2226       202205057289-3342-30             HOUSING FEMALE ASS'Y     CCN000067200000067200FN00000000020220701000067200NNM   20220330121714    1N0N  00000240000000686400000901432D1    TOYOT-K 005500360039
BI00B32D1    DFTC2226       202205057289-3342-40             HOUSING FEMALE ASS'Y     CCN000007200000007200FN00000000020220701000007200NNM   20220330121714    1N0N  00000240000000686400000901432D1    TOYOT-K 005500360039
BI00B32D1    DFTC2226       202205057289-3342-90             HOUSING FEMALE ASS'Y     CCN000007200000007200FN00000000020220701000007200NNM   20220330121714    1N0N  00000240000000686400000901432D1    TOYOT-K 005500360039
