BI00B32Q8    EW22072 MW     202206011801R704161              CIVUS 1.25 LG            CCN000014000000014000FN00000000020220701000014000NNM   20220416203414    1W    00000100000001228000000000032Q8    EMEMI   000000000000MI325027
BI00B32Q8    EW22073 MW     202206081801R704161              CIVUS 1.25 LG            CCN000018000000018000FN00000000020220701000018000NNM   20220416203414    1W    00000100000001228000000000032Q8    EMEMI   000000000000MI425042
BI00B32Q8    EW22074 MW     202206151801R704161              CIVUS 1.25 LG            CCN000014000000014000FN00000000020220701000014000NNM   20220416203414    1W    00000100000001228000000000032Q8    EMEMI   000000000000MI126049
BI00B32Q8    EW22073 MW     202206081801R704152              CIVUS 1.25 P             CCN000012000000012000FN00000000020220701000012000NNM   20220416203414    1W    00000100000001228000000000032Q8    EMEMI   000000000000MI425043
BI00B32Q8    EW22074 MW     202206151801R704152              CIVUS 1.25 P             CCN000024000000024000FN00000000020220701000024000NNM   20220416203414    1W    00000100000001228000000000032Q8    EMEMI   000000000000MI126050
BI00B32Q8    EW22073 MW     202206081801R704150              CIVUS 1.25 R             CCN000022000000022000FN00000000020220701000022000NNM   20220416203414    1W    00000100000001228000000000032Q8    EMEMI   000000000000MI425044
BI00B32Q8    EW22074 MW     202206151801R704150              CIVUS 1.25 R             CCN000053000000053000FN00000000020220701000053000NNM   20220416203414    1W    00000100000001228000000000032Q8    EMEMI   000000000000MI126051
BI00B32Q8    EW22071 MW     202205251801R704192              CIVUS 1.25 V             CCN000023000000023000FN00000000020220701000023000NNM   20220416203414    1W    00000100000001228000000000032Q8    EMEMI   000000000000MI225016
BI00B32Q8    EW22072 MW     202206011801R704192              CIVUS 1.25 V             CCN000020000000020000FN00000000020220701000020000NNM   20220416203414    1W    00000100000001228000000000032Q8    EMEMI   000000000000MI325028
BI00B32Q8    EW22073 MW     202206081801R704192              CIVUS 1.25 V             CCN000023000000023000FN00000000020220701000023000NNM   20220416203414    1W    00000100000001228000000000032Q8    EMEMI   000000000000MI425045
BI00B32Q8    EW22074 MW     202206151801R704192              CIVUS 1.25 V             CCN000019000000019000FN00000000020220701000019000NNM   20220416203414    1W    00000100000001228000000000032Q8    EMEMI   000000000000MI126052
BI00B32Q8    EW22073 MW     202206081801R704140              CIVUS 1.25 W             CCN000009000000009000FN00000000020220701000009000NNM   20220416203414    1W    00000100000001228000000000032Q8    EMEMI   000000000000MI425046
BI00B32Q8    EW22074 MW     202206151801R704140              CIVUS 1.25 W             CCN000042000000042000FN00000000020220701000042000NNM   20220416203414    1W    00000100000001228000000000032Q8    EMEMI   000000000000MI126053
BI00B32Q8    EW22071 MW     202205251801R704170              CIVUS 1.25 Y             CCN000027000000027000FN00000000020220701000027000NNM   20220416203414    1W    00000100000001228000000000032Q8    EMEMI   000000000000MI225017
BI00B32Q8    EW22072 MW     202206011801R704170              CIVUS 1.25 Y             CCN000043000000043000FN00000000020220701000043000NNM   20220416203414    1W    00000100000001228000000000032Q8    EMEMI   000000000000MI325029
BI00B32Q8    EW22073 MW     202206081801R704170              CIVUS 1.25 Y             CCN000051000000051000FN00000000020220701000051000NNM   20220416203414    1W    00000100000001228000000000032Q8    EMEMI   000000000000MI425047
BI00B32Q8    EW22074 MW     202206151801R704170              CIVUS 1.25 Y             CCN000048000000048000FN00000000020220701000048000NNM   20220416203414    1W    00000100000001228000000000032Q8    EMEMI   000000000000MI126054
BI00B32Q8    @EW22073 MW    20220608181D6903930              AVSSHCS 0.5FX1 B         CCN000000400000000400FN00000000020220701000000400NNM   20220416203402    1W    00000040000002285000000000032Q8    EMEMI   000000000000MI425007
BI00B32Q8    @EW22074 MW    20220615181D6903930              AVSSHCS 0.5FX1 B         CCN000000800000000800FN00000000020220701000000800NNM   20220416203402    1W    00000040000002285000000000032Q8    EMEMI   000000000000MI126008
BI00B32Q8    @EW22073 MW    20220608181D6910237              AVSSHCS 0.5FX2 B/Y       CCN000001200000001200FN00000000020220701000001200NNM   20220416203402    1W    00000030000002385000000000032Q8    EMEMI   000000000000MI425008
