BI00B1200    2399T52316     202204077289-5979-30             HOUSING FEMALE ASS'Y     CCN000033516000033516FN00000000020220501000033516NNM   20220223121808    1N0N  0000002520000085470000106471200    YCYC    005400370024
BI00B1200    2399T52317     202204217289-5979-30             HOUSING FEMALE ASS'Y     CCN000033516000033516FN00000000020220501000033516NNM   20220223121808    1N0N  0000002520000085470000106471200    YCYC    005400370024
BI00B1200    2399T52316     202204077289-6160-30             HOUSING FEMALE ASS'Y     CCN000002560000002560FN00000000020220501000002560NNM   20220223121808    4N0N  0000001600000103740000132041200    YCYC    005500360039
BI00B1200    2399T52317     202204217289-6160-30             HOUSING FEMALE ASS'Y     CCN000002560000002560FN00000000020220501000002560NNM   20220223121808    4N0N  0000001600000103740000132041200    YCYC    005500360039
BI00B1200    2399T52316     202204077289-6518-30             HOUSING FEMALE ASS'Y     CCN000022800000022800FN00000000020220501000022800NNM   20220223121808    1N0N  0000012000000082920000104921200    YCYC    005500360039
BI00B1200    2399T52317     202204217289-6518-30             HOUSING FEMALE ASS'Y     CCN000021600000021600FN00000000020220501000021600NNM   20220223121808    1N0N  0000012000000082920000104921200    YCYC    005500360039
BI00B1200    2399T52316     202204077289-6547                HOUSING FEMALE ASS'Y     CCN000240000000240000FN00000000020220501000240000NNM   20220223121808    1N0N  0000024000000115200000136201200    YCYC    005500360039
BI00B1200    2399T52317     202204217289-6547                HOUSING FEMALE ASS'Y     CCN000240000000240000FN00000000020220501000240000NNM   20220223121808    1N0N  0000024000000115200000136201200    YCYC    005500360039
BI00B1200    2399T52316     202204077289-6597-70             HOUSING FEMALE ASS'Y     CCN000036720000036720FN00000000020220501000036720NNM   20220223121808    4N0N  0000021600000128950000153951200    YCYC    005500360039
BI00B1200    2399T52317     202204217289-6597-70             HOUSING FEMALE ASS'Y     CCN000036720000036720FN00000000020220501000036720NNM   20220223121808    4N0N  0000021600000128950000153951200    YCYC    005500360039
BI00B1200    2399T52316     202204077289-6868-30             SEALED ASSY FEMALE       CCN000105840000105840FN00000000020220501000105840NNM   20220223121808    4N0N  0000025200000083920000111921200    YCYC    005500360039
BI00B1200    2399T52317     202204217289-6868-30             SEALED ASSY FEMALE       CCN000105840000105840FN00000000020220501000105840NNM   20220223121808    4N0N  0000025200000083920000111921200    YCYC    005500360039
BI00B1200    2399T52316     202204077289-7212-30             HOUSING FEMALE ASS'Y     CCN000009120000009120FN00000000020220501000009120NNM   20220223121808    4N0N  0000002400000138840000159341200    YCYC    005500360039
BI00B1200    2399T52317     202204217289-7212-30             HOUSING FEMALE ASS'Y     CCN000008880000008880FN00000000020220501000008880NNM   20220223121808    4N0N  0000002400000138840000159341200    YCYC    005500360039
BI00B1200    2399T52316     202204077289-7615-30             HOUSING FEMALE ASS'Y     CCN000000320000000320FN00000000020220501000000320NNM   20220223121808    4N0N  0000003200000073800000094801200    YCYC    005400370024
BI00B1200    2399T52317     202204217289-7615-30             HOUSING FEMALE ASS'Y     CCN000000320000000320FN00000000020220501000000320NNM   20220223121808    4N0N  0000003200000073800000094801200    YCYC    005400370024
BI00B1200    2399T52316     202204077289-7970                HYBRID FEMALE ASS'Y      CCN000024320000024320FN00000000020220501000024320NNM   20220223121808    1N0N  0000003200000073820000096471200    YCYC    005400370024
BI00B1200    2399T52317     202204217289-7970                HYBRID FEMALE ASS'Y      CCN000024320000024320FN00000000020220501000024320NNM   20220223121808    1N0N  0000003200000073820000096471200    YCYC    005400370024
BI00B1200    2399T52316     202204077289-9553-30             SEALED ASSY FEMALE       CCN000014700000014700FN00000000020220501000014700NNM   20220223121808    4N0N  0000029400000110900000152151200    YCYC    005500360039
BI00B1200    2399T52317     202204217289-9553-30             SEALED ASSY FEMALE       CCN000011760000011760FN00000000020220501000011760NNM   20220223121808    4N0N  0000029400000110900000152151200    YCYC    005500360039
BI00B1200    2399T52316     202204077289-9553-50             SEALED ASSY FEMALE       CCN000005880000005880FN00000000020220501000005880NNM   20220223121808    4N0N  0000029400000110810000152061200    YCYC    005500360039
BI00B1200    2399T52317     202204217289-9553-50             SEALED ASSY FEMALE       CCN000005880000005880FN00000000020220501000005880NNM   20220223121808    4N0N  0000029400000110810000152061200    YCYC    005500360039
BI00B1200    2399T52316     202204077289-9612-30             HOUSING FEMALE ASS'Y     CCN000000480000000480FN00000000020220501000000480NNM   20220223121808    4N0N  0000002400000134880000166881200    YCYC    005500360039
BI00B1200    2399T52317     202204217289-9612-30             HOUSING FEMALE ASS'Y     CCN000000240000000240FN00000000020220501000000240NNM   20220223121808    4N0N  0000002400000134880000166881200    YCYC    005500360039
