BI00A1200    2399T51C15     202203257288-6547                CONNECTOR MALE ASS'Y     PCN000120000000120000FN00000000020220101000120000NNMM0020220301164603    4N0N  0000007500000120530000134031200    YCYC    005400370024
BI00B32A7    ZZ22053LMW     202204207158-3168-80             SEALED                   CCN000040000000040000FN00000000020220501000040000NNM   20220301132716    1C0C  00002000000000044000000092132A7    ZZZZY   004300260014
BI00B32A7    ZZ22053LMW     202204207158-3169-40             SEALING PLUG             CCN000040000000040000FN00000000020220501000040000NNM   20220301132716    1C0C  00004000000000156000000204132A7    ZZZZY   004300260014
BI00B32A7    ZZ22054LMW     202204277158-3169-40             SEALING PLUG             CCN000040000000040000FN00000000020220501000040000NNM   20220301132716    1C0C  00004000000000156000000204132A7    ZZZZY   004300260014
BI00B32A7    ZZ22051LMW     202204067172-5402-30             SEAL RUBBER              CCN000016000000016000FN00000000020220501000016000NNM   20220301132716    1C0C  00000800000000457600000506032A7    ZZZZY   004300270014
BI00B32A7    ZZ22052LMW     202204127172-5402-30             SEAL RUBBER              CCN000008000000008000FN00000000020220501000008000NNM   20220301132716    1C0C  00000800000000457600000506032A7    ZZZZY   004300270014
BI00B32A7    ZZ22053LMW     202204207172-5402-30             SEAL RUBBER              CCN000016000000016000FN00000000020220501000016000NNM   20220301132716    1C0C  00000800000000457600000506032A7    ZZZZY   004300270014
BI00B32A7    ZZ22054LMW     202204277172-5402-30             SEAL RUBBER              CCN000008000000008000FN00000000020220501000008000NNM   20220301132716    1C0C  00000800000000457600000506032A7    ZZZZY   004300270014
BI00B32A7    ZZ22052LMW     202204127172-5403-30             SEALED PACKING           CCN000008000000008000FN00000000020220501000008000NNM   20220301132716    1C0C  00000400000000653600000701732A7    ZZZZY   004300270014
BI00B32A7    ZZ22053LMW     202204207172-5403-30             SEALED PACKING           CCN000012000000012000FN00000000020220501000012000NNM   20220301132716    1C0C  00000400000000653600000701732A7    ZZZZY   004300270014
BI00B32A7    ZZ22054LMW     202204277172-5403-30             SEALED PACKING           CCN000008000000008000FN00000000020220501000008000NNM   20220301132716    1C0C  00000400000000653600000701732A7    ZZZZY   004300270014
BI00B32A7    ZZ22053LMW     202204207283-8630                CONNECTOR ASS'Y          CCN000006000000006000FN00000000020220501000006000NNM   20220301132716    4N0N  00000600000000540000000701332A7    ZZZZY   005400370024
BI00B32A7    ZZ22052LMW     202204127289-4696-30             HOUSING FEMALE ASS'Y     CCN000018000000018000FN00000000020220501000018000NNM   20220301132716    4N0N  00000200000000913400001055432A7    ZZZZY   005400370024
BI00B32A7    ZZ22053LMW     202204207289-4696-30             HOUSING FEMALE ASS'Y     CCN000028000000028000FN00000000020220501000028000NNM   20220301132716    4N0N  00000200000000913400001055432A7    ZZZZY   005400370024
BI00B32A7    ZZ22054LMW     202204277289-4696-30             HOUSING FEMALE ASS'Y     CCN000018000000018000FN00000000020220501000018000NNM   20220301132716    4N0N  00000200000000913400001055432A7    ZZZZY   005400370024
BI00B32A7    ZZ22053LMW     202204207289-5000                HOUSING FEMALE ASS'Y     CCN000001520000001520FN00000000020220501000001520NNM   20220301132716    1N0N  00000030400000549000000759032A7    ZZZZY   005400370024
BI00B32A7    ZZ22054LMW     202204277289-5000                HOUSING FEMALE ASS'Y     CCN000000608000000608FN00000000020220501000000608NNM   20220301132716    1N0N  00000030400000549000000759032A7    ZZZZY   005400370024
