BI00B1200    #2399T52214    202203317198-1372-60             HOUSING FEMALE           CCN000002000000002000FN00000000020220401000002000NNM   20220126145736    2F0F  0000020000000085720000099521200    YCYC    005400370024
BI00B1200    #2399T52213    202203247198-1373-60             HOUSING FEMALE           CCN000012000000012000FN00000000020220401000012000NNM   20220126145736    2F0F  0000020000000081940000094741200    YCYC    005400370024
BI00B1200    #2399T52214    202203317198-1373-60             HOUSING FEMALE           CCN000012000000012000FN00000000020220401000012000NNM   20220126145736    2F0F  0000020000000081940000094741200    YCYC    005400370024
BI00B1200    #2399T52214    202203317174-1515                FRONT DOOR COVER         CCN000001200000001200FN00000000020220401000001200NNM   20220126145736    2F0F  0000006000000049020000061021200    YCYC    005500360039
BI00B1200    2399T52215     202203037287-9323                UNSEALED HOUSING SUB     CCN000002400000002400FN00000000020220401000002400NNM   20220126145853    1N0N  0000024000000053760000069001200    YCYC    005600390023
BI00B1200    2399T52216     202203107287-9323                UNSEALED HOUSING SUB     CCN000002400000002400FN00000000020220401000002400NNM   20220126145853    1N0N  0000024000000053760000069001200    YCYC    005600390023
BI00B1200    2399T52215     202203037288-3334-30             HOUSING MALE             CCN000001500000001500FN00000000020220401000001500NNM   20220126145853    4N0N  0000015000000086700000101201200    YCYC    005400370024
BI00B1200    2399T52216     202203107288-3334-30             HOUSING MALE             CCN000001500000001500FN00000000020220401000001500NNM   20220126145853    4N0N  0000015000000086700000101201200    YCYC    005400370024
BI00B1200    2399T52217     202203177288-3334-30             HOUSING MALE             CCN000001500000001500FN00000000020220401000001500NNM   20220126145853    4N0N  0000015000000086700000101201200    YCYC    005400370024
BI00B1200    2399T52215     202203037288-3340-30             HOUSING MALE             CCN000001500000001500FN00000000020220401000001500NNM   20220126145853    4N0N  0000015000000086150000100641200    YCYC    005400370024
BI00B1200    2399T52215     202203037288-6547                CONNECTOR MALE ASS'Y     CCN000160500000160500FN00000000020220401000160500NNM   20220126145853    4N0N  0000007500000120530000134031200    YCYC    005400370024
BI00B1200    2399T52216     202203107288-6547                CONNECTOR MALE ASS'Y     CCN000159750000159750FN00000000020220401000159750NNM   20220126145853    4N0N  0000007500000120530000134031200    YCYC    005400370024
BI00B1200    2399T52217     202203177288-6547                CONNECTOR MALE ASS'Y     CCN000159750000159750FN00000000020220401000159750NNM   20220126145853    4N0N  0000007500000120530000134031200    YCYC    005400370024
BI00B1200    2399T52218     202203247288-6547                CONNECTOR MALE ASS'Y     CCN000159750000159750FN00000000020220401000159750NNM   20220126145853    4N0N  0000007500000120530000134031200    YCYC    005400370024
BI00B1200    2399T52215     202203037288-6598-70             HOUSING MALE ASS'Y       CCN000020160000020160FN00000000020220401000020160NNM   20220126145853    4N0N  0000014400000107420000142921200    YCYC    005500360039
BI00B1200    2399T52216     202203107288-6598-70             HOUSING MALE ASS'Y       CCN000020160000020160FN00000000020220401000020160NNM   20220126145853    4N0N  0000014400000107420000142921200    YCYC    005500360039
BI00B1200    2399T52217     202203177288-6598-70             HOUSING MALE ASS'Y       CCN000020160000020160FN00000000020220401000020160NNM   20220126145853    4N0N  0000014400000107420000142921200    YCYC    005500360039
BI00B1200    2399T52215     202203037288-7969                HYBRID MALE ASS'Y        CCN000016960000016960FN00000000020220401000016960NNM   20220126145853    1N0N  0000003200000087620000110171200    YCYC    005400370024
BI00B1200    2399T52216     202203107288-7969                HYBRID MALE ASS'Y        CCN000016960000016960FN00000000020220401000016960NNM   20220126145853    1N0N  0000003200000087620000110171200    YCYC    005400370024
BI00B1200    2399T52217     202203177288-7969                HYBRID MALE ASS'Y        CCN000016960000016960FN00000000020220401000016960NNM   20220126145853    1N0N  0000003200000087620000110171200    YCYC    005400370024
BI00B1200    2399T52215     202203037289-0269                HOUSING SUB ASSEMBLY     CCN000004800000004800FN00000000020220401000004800NNM   20220126145853    1N0N  0000016000000100210000123451200    YCYC    005500360039
BI00B1200    2399T52216     202203107289-0269                HOUSING SUB ASSEMBLY     CCN000004800000004800FN00000000020220401000004800NNM   20220126145853    1N0N  0000016000000100210000123451200    YCYC    005500360039
BI00B1200    2399T52217     202203177289-0269                HOUSING SUB ASSEMBLY     CCN000004800000004800FN00000000020220401000004800NNM   20220126145853    1N0N  0000016000000100210000123451200    YCYC    005500360039
BI00B1200    2399T52215     202203037289-3342                HOUSING FEMALE ASS'Y     CCN000002400000002400FN00000000020220401000002400NNM   20220126145853    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    2399T52216     202203107289-3342                HOUSING FEMALE ASS'Y     CCN000002400000002400FN00000000020220401000002400NNM   20220126145853    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    2399T52217     202203177289-3342                HOUSING FEMALE ASS'Y     CCN000002400000002400FN00000000020220401000002400NNM   20220126145853    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    2399T52215     202203037289-4212-80             SEALED HOUSING ASS'Y     CCN000012000000012000FN00000000020220401000012000NNM   20220126145853    4N0N  0000020000000084860000097861200    YCYC    005400370024
BI00B1200    2399T52216     202203107289-4212-80             SEALED HOUSING ASS'Y     CCN000012000000012000FN00000000020220401000012000NNM   20220126145853    4N0N  0000020000000084860000097861200    YCYC    005400370024
BI00B1200    2399T52217     202203177289-4212-80             SEALED HOUSING ASS'Y     CCN000012000000012000FN00000000020220401000012000NNM   20220126145853    4N0N  0000020000000084860000097861200    YCYC    005400370024
BI00B1200    2399T52215     202203037289-6159-30             HOUSING FEMALE ASS'Y     CCN000001440000001440FN00000000020220401000001440NNM   20220126145853    4N0N  0000002400000109500000137501200    YCYC    005500360039
BI00B1200    2399T52216     202203107289-6159-30             HOUSING FEMALE ASS'Y     CCN000001440000001440FN00000000020220401000001440NNM   20220126145853    4N0N  0000002400000109500000137501200    YCYC    005500360039
BI00B1200    2399T52217     202203177289-6159-30             HOUSING FEMALE ASS'Y     CCN000001200000001200FN00000000020220401000001200NNM   20220126145853    4N0N  0000002400000109500000137501200    YCYC    005500360039
BI00B1200    2399T52215     202203037289-6160-30             HOUSING FEMALE ASS'Y     CCN000000320000000320FN00000000020220401000000320NNM   20220126145853    4N0N  0000001600000103740000132041200    YCYC    005500360039
BI00B1200    2399T52216     202203107289-6160-30             HOUSING FEMALE ASS'Y     CCN000000320000000320FN00000000020220401000000320NNM   20220126145853    4N0N  0000001600000103740000132041200    YCYC    005500360039
BI00B1200    2399T52217     202203177289-6160-30             HOUSING FEMALE ASS'Y     CCN000000320000000320FN00000000020220401000000320NNM   20220126145853    4N0N  0000001600000103740000132041200    YCYC    005500360039
BI00B1200    2399T52215     202203037289-6518-30             HOUSING FEMALE ASS'Y     CCN000004800000004800FN00000000020220401000004800NNM   20220126145853    1N0N  0000012000000082920000104921200    YCYC    005500360039
BI00B1200    2399T52216     202203107289-6518-30             HOUSING FEMALE ASS'Y     CCN000004800000004800FN00000000020220401000004800NNM   20220126145853    1N0N  0000012000000082920000104921200    YCYC    005500360039
BI00B1200    2399T52217     202203177289-6518-30             HOUSING FEMALE ASS'Y     CCN000003600000003600FN00000000020220401000003600NNM   20220126145853    1N0N  0000012000000082920000104921200    YCYC    005500360039
