BI00B1200    2399T51815     202111257289-5979-30             HOUSING FEMALE ASS'Y     CCN000014616000008820FN00000000020211001000008820NNM00020211124150506    1N0N  0000002520000085470000106471200    YCYC    005400370024
BI00A1200    7242T51907     202112027289-3342-40             HOUSING FEMALE ASS'Y     CCN000024000000009600FN00000000020211001000009600NNE00020211124175127    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    2399T51815     202111237289-5979-30             HOUSING FEMALE ASS'Y     PCN000008820000002520FY00000252020211001000000000NNMM0020211124150506    1N0N  0000002520000085470000106471200    YCYC    005400370024
BI00A1200    2399T51815     202111267289-5979-30             HOUSING FEMALE ASS'Y     PCN000002520000002772FN00000000020211001000002772NNMM0020211124150506    1N0N  0000002520000085470000106471200    YCYC    005400370024
BI00A1200    2399T51813     202111267289-5979-30             HOUSING FEMALE ASS'Y     PCN000007560000001260FN00000000020211001000001260NNMD0220211124150620    1N0N  0000002520000085470000106471200    YCYC    005400370024
BI00B1200    2399T51C15     202112237289-0269                HOUSING SUB ASSEMBLY     CCN000016000000016000FN00000000020220101000016000NNM   20211124122808    1N0N  0000016000000100210000123451200    YCYC    005500360039
BI00B1200    2399T51C16     202201067289-0269                HOUSING SUB ASSEMBLY     CCN000016000000016000FN00000000020220101000016000NNM   20211124122808    1N0N  0000016000000100210000123451200    YCYC    005500360039
BI00B1200    2399T51C17     202201137289-0269                HOUSING SUB ASSEMBLY     CCN000014400000014400FN00000000020220101000014400NNM   20211124122808    1N0N  0000016000000100210000123451200    YCYC    005500360039
BI00B1200    2399T51C15     202112237289-3342                HOUSING FEMALE ASS'Y     CCN000002400000002400FN00000000020220101000002400NNM   20211124122808    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    2399T51C16     202201067289-3342                HOUSING FEMALE ASS'Y     CCN000002400000002400FN00000000020220101000002400NNM   20211124122808    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    2399T51C17     202201137289-3342                HOUSING FEMALE ASS'Y     CCN000002400000002400FN00000000020220101000002400NNM   20211124122808    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    2399T51C15     202112237289-3342-30             HOUSING FEMALE ASS'Y     CCN000007200000007200FN00000000020220101000007200NNM   20211124122808    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    2399T51C16     202201067289-3342-30             HOUSING FEMALE ASS'Y     CCN000007200000007200FN00000000020220101000007200NNM   20211124122808    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    2399T51C17     202201137289-3342-30             HOUSING FEMALE ASS'Y     CCN000007200000007200FN00000000020220101000007200NNM   20211124122808    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    2399T51C15     202112237289-4212-80             SEALED HOUSING ASS'Y     CCN000018000000018000FN00000000020220101000018000NNM   20211124122808    4N0N  0000020000000084860000097861200    YCYC    005400370024
