BI00A32AF    @TTB108D       20211208181AD2004ZZ              CIVUSAS-S 0.35X4 B       PCN000004800000004800FN00000000020210801000004800NNE25 20211204111957    1W    00000030000002784000000000032AF    HBYHVTB 000000000000UT118018
BI00B32D9    C20802         202201201801W006941              IVSSH 0.35F GY           CCN000002500000002500FN00000000020220201000002500NNM   20211204100556    1W    00000250000000452000000000032D9    UEHESTO 000000000000HT121032
BI00B32D9    C20902         202201271801W006941              IVSSH 0.35F GY           CCN000002500000002500FN00000000020220201000002500NNM   20211204100556    1W    00000250000000452000000000032D9    UEHESTO 000000000000HT221039
BI00B32D9    C20602         202201061801W006950              IVSSH 0.35F R            CCN000005000000005000FN00000000020220201000005000NNM   20211204100556    1W    00000250000000452000000000032D9    UEHESTO 000000000000HT31C079
BI00B32D9    C20702         202201131801W006950              IVSSH 0.35F R            CCN000002500000002500FN00000000020220201000002500NNM   20211204100556    1W    00000250000000452000000000032D9    UEHESTO 000000000000HT41C134
BI00B32D9    C20802         202201201801W006950              IVSSH 0.35F R            CCN000005000000005000FN00000000020220201000005000NNM   20211204100556    1W    00000250000000452000000000032D9    UEHESTO 000000000000HT121036
BI00B32D9    C20902         202201271801W006950              IVSSH 0.35F R            CCN000002500000002500FN00000000020220201000002500NNM   20211204100556    1W    00000250000000452000000000032D9    UEHESTO 000000000000HT221043
BI00B32D9    C20602         202201061801W006952              IVSSH 0.35F P            CCN000002500000002500FN00000000020220201000002500NNM   20211204100556    1W    00000250000000452000000000032D9    UEHESTO 000000000000HT31C078
BI00B32D9    C20702         202201131801W006952              IVSSH 0.35F P            CCN000002500000002500FN00000000020220201000002500NNM   20211204100556    1W    00000250000000452000000000032D9    UEHESTO 000000000000HT41C133
BI00B32D9    C20802         202201201801W006952              IVSSH 0.35F P            CCN000002500000002500FN00000000020220201000002500NNM   20211204100556    1W    00000250000000452000000000032D9    UEHESTO 000000000000HT121035
BI00B32D9    C20902         202201271801W006952              IVSSH 0.35F P            CCN000002500000002500FN00000000020220201000002500NNM   20211204100556    1W    00000250000000452000000000032D9    UEHESTO 000000000000HT221042
BI00B32D9    C20602         202201061801W006960              IVSSH 0.35F G            CCN000005000000005000FN00000000020220201000005000NNM   20211204100556    1W    00000250000000452000000000032D9    UEHESTO 000000000000HT31C074
