BI00A32AF    @TTB201A       20211207181E48065ZZ              CAVSAS-S 0.5X4 GY/W      CCN000000600000000600FN00000000020220101000000600NNE21 20211203130310    1W    00000020000004425000000000032AF    HBYHVTB 000000000000UW51B003
BI00B32AF    @TTB2025       20211210181E48061ZZ              CAVSAS-S 0.5X2 W/L       CCN000000300000000300FN00000000020220201000000300NNM20 20211203114945    1W    00000030000002493000000000032AF    HBYHVTB 000000000000UZ41C085
BI00B32AF    @TTB201B       20211210181E48065ZZ              CAVSAS-S 0.5X4 GY/W      CCN000000400000000400FN00000000020220101000000400NNE20 20211203130420    1W    00000020000004425000000000032AF    HBYHVTB 000000000000UT11C002
BI00A32DJ    GHT2201-2      2021120318007704140              AVSS 1.25F W             CCN000001600000001600FN00000000020211201000001600NNM20 20211203082525    1W    00000080000001389000000000032DJ    RBYIPLRB000000000000XH41B026
BI00A32DJ    GHT2201-2      20211203180T8403952              ACCAVS 0.5 P             CCN000003000000003000FN00000000020211201000003000NNM20 20211203082525    1W    00000150000000674300000000032DJ    RBYIPLRB000000000000XH41B020
BI00A32DJ    GHT2201-2      20211203180T8403980              ACCAVS 0.5 BR            CCN000000020000001500FN00000000020211201000001500NNM20 20211203082525    1W    00000150000000674300000000032DJ    RBYIPLRB000000000000XH41B017
BI00B32N3    NBT202-4       20220120180D0203943              AVSSH 0.5F W/B           CCN000001500000001500FN00000000020220101000001500NNM   20211203094652    1W    00000150000000689000000000032N3    ABYIPL-B000000000000XA41C047
BI00B32N3    NBT202-2       20220106180D0203950              AVSSH 0.5F R             CCN000004500000004500FN00000000020220101000004500NNM   20211203094652    1W    00000150000000689000000000032N3    ABYIPL-B000000000000XA31C004
BI00B32N3    NBT202-4       20220120180D0203950              AVSSH 0.5F R             CCN000004500000004500FN00000000020220101000004500NNM   20211203094652    1W    00000150000000689000000000032N3    ABYIPL-B000000000000XA41C045
BI00B32N3    NBT202-2       20220106180D0203960              AVSSH 0.5F G             CCN000001500000001500FN00000000020220101000001500NNM   20211203094652    1W    00000150000000689000000000032N3    ABYIPL-B000000000000XA31C003
BI00B32N3    NBT202-2       20220106180D0203970              AVSSH 0.5F Y             CCN000003000000003000FN00000000020220101000003000NNM   20211203094652    1W    00000150000000689000000000032N3    ABYIPL-B000000000000XA31C006
BI00B32N3    NBT202-1       20211230180D0203990              AVSSH 0.5F L             CCN000001500000001500FN00000000020220101000001500NNM   20211203094652    1W    00000150000000689000000000032N3    ABYIPL-B000000000000XA21C023
BI00B32N3    NBT202-4       20220120180D0203990              AVSSH 0.5F L             CCN000003000000003000FN00000000020220101000003000NNM   20211203094652    1W    00000150000000689000000000032N3    ABYIPL-B000000000000XA41C044
BI00B32N3    NBT202-2       20220106180D0204190              AVSSH 1.25F L            CCN000001600000001600FN00000000020220101000001600NNM   20211203094652    1W    00000080000001458000000000032N3    ABYIPL-B000000000000XA31C007
BI00B32N3    @NBT202-1      20211230181B0911941              CAVSAS 0.3X4 GY          CCN000001750000001750FN00000000020220101000001750NNM   20211203093807    1W    00000025000003616000000000032N3    ABYIPL-B000000000000XA21C001
BI00B32N3    @NBT202-3      20220113181B0911941              CAVSAS 0.3X4 GY          CCN000001000000001000FN00000000020220101000001000NNM   20211203093807    1W    00000025000003616000000000032N3    ABYIPL-B000000000000XA41C001
BI00B32N3    @NBT202-4      20220120181B0911941              CAVSAS 0.3X4 GY          CCN000001750000001750FN00000000020220101000001750NNM   20211203093807    1W    00000025000003616000000000032N3    ABYIPL-B000000000000XA41C003
BI00B32N3    @NBT202-1      20211230181B32103S1              AVSSCS 0.5FX3 DGY        CCN000002000000002000FN00000000020220101000002000NNM   20211203093807    1W    00000025000003539700000000032N3    ABYIPL-B000000000000XA21C002
BI00B32N3    @NBT202-2      20220106181B32103S1              AVSSCS 0.5FX3 DGY        CCN000003250000003250FN00000000020220101000003250NNM   20211203093807    1W    00000025000003539700000000032N3    ABYIPL-B000000000000XA31C001
BI00B32N3    @NBT202-3      20220113181B32103S1              AVSSCS 0.5FX3 DGY        CCN000001000000001000FN00000000020220101000001000NNM   20211203093807    1W    00000025000003539700000000032N3    ABYIPL-B000000000000XA41C002
BI00B32N3    @NBT202-4      20220120181B32103S1              AVSSCS 0.5FX3 DGY        CCN000004500000004500FN00000000020220101000004500NNM   20211203093807    1W    00000025000003539700000000032N3    ABYIPL-B000000000000XA41C004
