BI00B32J1    @390633        20220214181E48013ZZ              CAVSAS-S 0.3X3 GY        CCN000000500000000000FY00000000020220201000000000NNE10 20220131093800    1W    00000025000002778200000000032J1    UKYEL-BL000000000000KG122009
BI00B32J1    @390633        20220214181E48015ZZ              CAVSAS-S 0.5X1 GY        CCN000001600000000000FY00000000020220201000000000NNE10 20220131093800    1W    00000040000001900600000000032J1    UKYEL-BL000000000000KG122006
BI00B32W9    4500188320     2022030818000004543              AV 8 W/B                 CCN000000100000000100FN00000000020220301000000100NNE   20220131151445W93 1W    00000010000010466200000000032W93   HKYHK   000000000000ZP422005
BI00B32W9    4500188320     2022030818000004545              AV 8 W/R                 CCN000000100000000100FN00000000020220301000000100NNE   20220131151445W93 1W    00000010000010466200000000032W93   HKYHK   000000000000ZP422006
BI00B32W9    4500188320     20220308180D0203976              AVSSH 0.5F Y/G           CCN000001500000001500FN00000000020220301000001500NNE   20220131151445W93 1W    00000150000000689000000000032W93   HKYHK   000000000000ZP422003
BI00B32W9    4500188320     2022030818018403989              CAVS 0.5 BR/L            CCN000001500000001500FN00000000020220301000001500NNE   20220131151445W93 1W    00000150000000677000000000032W93   HKYHK   000000000000ZP422061
BI00B32W9    4500188320     20220308180184039J2              CAVS 0.5 O/R             CCN000003000000003000FN00000000020220301000003000NNE   20220131151445W93 1W    00000150000000677000000000032W93   HKYHK   000000000000ZP422079
BI00B32W9    4500188320     20220308180184040M2              CAVS 0.85 R/O            CCN000002000000002000FN00000000020220301000002000NNE   20220131151445W93 1W    00000100000000965000000000032W93   HKYHK   000000000000ZP422122
BI00B32W9    4500188320     2022030818018404110              CAVS 1.25 GY/R           CCN000000800000000800FN00000000020220301000000800NNE   20220131151445W93 1W    00000080000001378000000000032W93   HKYHK   000000000000ZP422134
BI00B32W9    4500188320     2022030818018404117              CAVS 1.25 LG/B           CCN000000800000000800FN00000000020220301000000800NNE   20220131151445W93 1W    00000080000001378000000000032W93   HKYHK   000000000000ZP422137
BI00B32W9    4500188320     2022030818018404118              CAVS 1.25 G/O            CCN000001600000001600FN00000000020220301000001600NNE   20220131151445W93 1W    00000080000001378000000000032W93   HKYHK   000000000000ZP422132
BI00B32W9    4500188320     20220308180184041G1              CAVS 1.25 Y/V            CCN000000800000000800FN00000000020220301000000800NNE   20220131151445W93 1W    00000080000001378000000000032W93   HKYHK   000000000000ZP422149
BI00B32W9    4500188320     2022030818009604470              AVS 5 Y                  CCN000000400000000400FN00000000020220301000000400NNE   20220131151445W93 1W    00000020000005981000000000032W93   HKYHK   000000000000ZP422042
BI00B32W9    4500188320     2022030818000004540              AV 8 W                   CCN000000100000000100FN00000000020220301000000100NNE   20220131151445W93 1W    00000010000010466200000000032W93   HKYHK   000000000000ZP422004
BI00B32W9    4500188320     2022030818009604245              AVS 2 W/R                CCN000000500000000500FN00000000020220301000000500NNE   20220131151445W93 1W    00000050000002456500000000032W93   HKYHK   000000000000ZP422021
BI00B32W9    4500188320     2022030818009604330              AVS 3 B                  CCN000002000000002000FN00000000020220301000002000NNE   20220131151445W93 1W    00000040000003831600000000032W93   HKYHK   000000000000ZP422022
BI00B32W9    4500188320     2022030818009604350              AVS 3 R                  CCN000001200000001200FN00000000020220301000001200NNE   20220131151445W93 1W    00000040000003831600000000032W93   HKYHK   000000000000ZP422027
BI00B32W9    4500188320     2022030818009604440              AVS 5 W                  CCN000000200000000200FN00000000020220301000000200NNE   20220131151445W93 1W    00000020000005981000000000032W93   HKYHK   000000000000ZP422041
BI00B32W9    4500188320     2022030818009604357              AVS 3 R/Y                CCN000000800000000800FN00000000020220301000000800NNE   20220131151445W93 1W    00000040000003831600000000032W93   HKYHK   000000000000ZP422031
